"Story","Title","Result","Date","Stability","Duration (s)"
"Applications Pillar","Applications pillar","SUCCESS","2020-01-31T04:52:30.943+05:30[Asia/Calcutta]","0.0","23.92"
"Applications Pillar","Applications pillar list","SUCCESS","2020-01-31T04:52:56.412+05:30[Asia/Calcutta]","0.0","20.44"
"Applications Pillar","Applications pillar titles","SUCCESS","2020-01-31T04:53:18.165+05:30[Asia/Calcutta]","0.0","9.96"
"Applications Pillar","Applications pillar CTA button","SUCCESS","2020-01-31T04:53:29.699+05:30[Asia/Calcutta]","0.0","10.55"
"Applications Pillar","Applications pillar list item","SUCCESS","2020-01-31T04:53:41.556+05:30[Asia/Calcutta]","0.0","15.66"
